"No.","Time","Source","Destination","Length","Info","PayloadBT","Payload","Protocol"
"94","0.176461000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=64636 Win=2025 Len=0 TSval=1214366955 TSecr=321346","","0","TCP"
"95","0.177091000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x1d [Malformed Packet]","","1448","RSL"
"96","0.177500000","192.168.0.33","192.168.0.4","80","unknown 0x5a [Malformed Packet]","","14","IPA"
"97","0.178178000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=66098 Win=2025 Len=0 TSval=1214366956 TSecr=321346","","0","TCP"
"98","0.178561000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x97 [Malformed Packet]","","1448","RSL"
"99","0.178756000","192.168.0.33","192.168.0.4","80","unknown 0x21 [Malformed Packet]","","14","IPA"
"100","0.179055000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x32 [Malformed Packet]","","1448","RSL"
"101","0.179344000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=67560 Win=2025 Len=0 TSval=1214366957 TSecr=321346","","0","TCP"
"102","0.179371000","192.168.0.33","192.168.0.4","1514","unknown 0xf8 [Malformed Packet]","","1448","IPA"
"103","0.179469000","192.168.0.33","192.168.0.4","94","unknown 0x07 [Malformed Packet]","","28","IPA"
"104","0.179867000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x71 [Malformed Packet]","","1448","RSL"
"105","0.180226000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=70484 Win=2024 Len=0 TSval=1214366957 TSecr=321346","","0","TCP"
"106","0.180331000","192.168.0.33","192.168.0.4","80","unknown 0xf4 [Malformed Packet]","","14","IPA"
"107","0.180381000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x26 [Malformed Packet]","","1448","RSL"
"108","0.180647000","192.168.0.33","192.168.0.4","1514","unknown 0x97 [Malformed Packet]","","1448","IPA"
"109","0.180710000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=71946 Win=2025 Len=0 TSval=1214366958 TSecr=321346","","0","TCP"
"110","0.180809000","192.168.0.33","192.168.0.4","94","unknown 0x52 [Malformed Packet]","","28","IPA"
"111","0.181017000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0xab [Malformed Packet]","","1448","RSL"
"112","0.181401000","192.168.0.33","192.168.0.4","1514","unknown 0xfa [Malformed Packet]","","1448","IPA"
"113","0.181417000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=74870 Win=2024 Len=0 TSval=1214366959 TSecr=321346","","0","TCP"
"114","0.181526000","192.168.0.33","192.168.0.4","94","unknown 0x45 [Malformed Packet]","","28","IPA"
"115","0.181847000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x17 [Malformed Packet]","","1448","RSL"
"116","0.182179000","192.168.0.33","192.168.0.4","1514","unknown 0xca [Malformed Packet]","","1448","IPA"
"117","0.182330000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=77794 Win=2024 Len=0 TSval=1214366959 TSecr=321346","","0","TCP"
"118","0.182430000","192.168.0.33","192.168.0.4","94","unknown 0xa1 [Malformed Packet]","","28","IPA"
"119","0.182489000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0xb4 [Malformed Packet]","","1448","RSL"
"120","0.182754000","192.168.0.33","192.168.0.4","1514","unknown 0x49 [Malformed Packet]","","1448","IPA"
